 beneficiario_run |     beneficiario_nombre     |      beneficiario_correo      | beneficiario_telefono | titular_run |       titular_nombre        |        titular_correo         | titular_telefono 
------------------+-----------------------------+-------------------------------+-----------------------+-------------+-----------------------------+-------------------------------+------------------
 11377635-8       | Felicia Fuentes Alvarez     | felicia.fuentes628@mail.cl    | 950917699             | 22224530-3  | Alvaro Iturra Mendez        | alvaro.iturra593@mail.cl      | 929880068
 8712106-2        | Ignacio Lagos Lagos         | ignacio.lagos762@mail.cl      | 100000000             | 22224530-3  | Alvaro Iturra Mendez        | alvaro.iturra593@mail.cl      | 929880068
 20782968-4       | Claudio Duarte Galdames     | claudio.duarte183@mail.cl     | 100000000             | 19206433-3  | Alvaro Mendez Espinoza      | alvaro.mendez318@mail.cl      | 960623174
 11173162-4       | Enrique Jara Ortiz          | enrique.jara198@mail.cl       | 929103287             | 19206433-3  | Alvaro Mendez Espinoza      | alvaro.mendez318@mail.cl      | 960623174
 8453862-0        | Daniela Pardo Mendez        | daniela.pardo792@mail.cl      | 917082882             | 9915422-5   | Alvaro Pardo Nuñez          | alvaro.pardo938@mail.cl       | 986226443
 9387435-8        | Loreto Contreras Iturra     | loreto.contreras996@mail.cl   | 100000000             | 23937539-1  | Beatriz Barrera Fuentes     | beatriz.barrera496@mail.cl    | 974577017
 23768214-9       | Gonzalo Espinoza Duarte     | gonzalo.espinoza392@mail.cl   | 973471679             | 10727597-5  | Beatriz Galdames Lagos      | beatriz.galdames954@mail.cl   | 935154792
 9407714-1        | Patricia Barrera Ortiz      | patricia.barrera117@mail.cl   | 931623214             | 10140560-5  | Beatriz Iturra Alvarez      | beatriz.iturra583@mail.cl     | 100000000
 15952806-5       | Ignacio Fuentes Nuñez       | ignacio.fuentes599@mail.cl    | 933567185             | 22924363-2  | Beatriz Jara Ortiz          | beatriz.jara251@mail.cl       | 100000000
 19841440-9       | Claudio Contreras Duarte    | claudio.contreras771@mail.cl  | 920096047             | 10336757-3  | Claudio Barrera Ortiz       | claudio.barrera409@mail.cl    | 997309677
 13171234-0       | Javiera Lagos Galdames      | javiera.lagos680@mail.cl      | 976947732             | 9705901-2   | Claudio Galdames Jara       | claudio.galdames785@mail.cl   | 937027662
 22097369-7       | Natalia Ortiz Henriquez     | natalia.ortiz569@mail.cl      | 100000000             | 9705901-2   | Claudio Galdames Jara       | claudio.galdames785@mail.cl   | 937027662
 19667549-3       | Helena Contreras Henriquez  | helena.contreras249@mail.cl   | 976341399             | 18881751-3  | Claudio Galdames Lagos      | claudio.galdames186@mail.cl   | 951942044
 13403699-0       | Loreto Fuentes Quezada      | loreto.fuentes465@mail.cl     | 100000000             | 22310528-9  | Claudio Jara Espinoza       | claudio.jara407@mail.cl       | 100000000
 10205942-5       | Javiera Contreras Quezada   | javiera.contreras581@mail.cl  | 986484804             | 8240232-2   | Claudio Lagos Ortiz         | claudio.lagos77@mail.cl       | 972786971
 6732478-1        | Daniela Nuñez Pardo         | daniela.nunez948@mail.cl      | 910615606             | 12204047-K  | Claudio Mendez Mendez       | claudio.mendez538@mail.cl     | 100000000
 22395628-9       | Kevin Mendez Lagos          | kevin.mendez191@mail.cl       | 988135889             | 17535970-2  | Daniela Galdames Lagos      | daniela.galdames625@mail.cl   | 100000000
 18590484-9       | Beatriz Quezada Mendez      | beatriz.quezada368@mail.cl    | 975094006             | 20789127-4  | Daniela Henriquez Duarte    | daniela.henriquez662@mail.cl  | 100000000
 19241592-6       | Patricia Iturra Duarte      | patricia.iturra286@mail.cl    | 100000000             | 20789127-4  | Daniela Henriquez Duarte    | daniela.henriquez662@mail.cl  | 100000000
 9158397-6        | Daniela Nuñez Galdames      | daniela.nunez803@mail.cl      | 996274376             | 20848551-2  | Daniela Henriquez Fuentes   | daniela.henriquez504@mail.cl  | 100000000
 16762187-2       | Ignacio Iturra Fuentes      | ignacio.iturra49@mail.cl      | 968158521             | 20848551-2  | Daniela Henriquez Fuentes   | daniela.henriquez504@mail.cl  | 100000000
 16676194-8       | Oscar Nuñez Pardo           | oscar.nunez569@mail.cl        | 952349960             | 20848551-2  | Daniela Henriquez Fuentes   | daniela.henriquez504@mail.cl  | 100000000
 13874019-6       | Patricia Barrera Alvarez    | patricia.barrera921@mail.cl   | 100000000             | 12037120-7  | Daniela Iturra Espinoza     | daniela.iturra841@mail.cl     | 996375239
 17990380-6       | Helena Mendez Ortiz         | helena.mendez712@mail.cl      | 971622394             | 13242165-K  | Daniela Jara Ortiz          | daniela.jara234@mail.cl       | 983677365
 24590975-6       | Loreto Nuñez Barrera        | loreto.nunez204@mail.cl       | 100000000             | 16001455-5  | Daniela Lagos Galdames      | daniela.lagos278@mail.cl      | 100000000
 19167475-8       | Daniela Duarte Espinoza     | daniela.duarte808@mail.cl     | 950437985             | 9897596-9   | Daniela Quezada Contreras   | daniela.quezada167@mail.cl    | 100000000
 14353620-3       | Alvaro Contreras Espinoza   | alvaro.contreras166@mail.cl   | 100000000             | 8054887-7   | Daniela Quezada Espinoza    | daniela.quezada446@mail.cl    | 999659152
 16826552-2       | Beatriz Jara Alvarez        | beatriz.jara649@mail.cl       | 100000000             | 8054887-7   | Daniela Quezada Espinoza    | daniela.quezada446@mail.cl    | 999659152
 12038700-6       | Helena Mendez Barrera       | helena.mendez349@mail.cl      | 911383220             | 8054887-7   | Daniela Quezada Espinoza    | daniela.quezada446@mail.cl    | 999659152
 14963168-2       | Loreto Lagos Iturra         | loreto.lagos886@mail.cl       | 100000000             | 12735469-3  | Daniela Quezada Nuñez       | daniela.quezada679@mail.cl    | 100000000
 10431820-7       | Oscar Ortiz Jara            | oscar.ortiz80@mail.cl         | 916526182             | 24071208-3  | Enrique Alvarez Jara        | enrique.alvarez424@mail.cl    | 936842811
 21319158-6       | Enrique Iturra Galdames     | enrique.iturra725@mail.cl     | 936375207             | 21724764-0  | Enrique Barrera Contreras   | enrique.barrera786@mail.cl    | 985031524
 13460505-7       | Mauricio Duarte Alvarez     | mauricio.duarte184@mail.cl    | 100000000             | 21724764-0  | Enrique Barrera Contreras   | enrique.barrera786@mail.cl    | 985031524
 7266412-4        | Javiera Lagos Fuentes       | javiera.lagos395@mail.cl      | 100000000             | 10135314-1  | Enrique Barrera Galdames    | enrique.barrera245@mail.cl    | 930549736
 10403855-7       | Helena Barrera Iturra       | helena.barrera783@mail.cl     | 100000000             | 22314415-2  | Enrique Contreras Quezada   | enrique.contreras578@mail.cl  | 100000000
 11891297-7       | Helena Fuentes Quezada      | helena.fuentes690@mail.cl     | 978946922             | 19305751-9  | Enrique Duarte Nuñez        | enrique.duarte861@mail.cl     | 100000000
 14986200-5       | Enrique Espinoza Iturra     | enrique.espinoza694@mail.cl   | 918374488             | 21265551-1  | Enrique Quezada Mendez      | enrique.quezada970@mail.cl    | 997286742
 10895823-5       | Felicia Duarte Iturra       | felicia.duarte337@mail.cl     | 968586632             | 21265551-1  | Enrique Quezada Mendez      | enrique.quezada970@mail.cl    | 997286742
 6003226-2        | Ignacio Barrera Henriquez   | ignacio.barrera272@mail.cl    | 100000000             | 21265551-1  | Enrique Quezada Mendez      | enrique.quezada970@mail.cl    | 997286742
 17273450-2       | Loreto Duarte Fuentes       | loreto.duarte235@mail.cl      | 100000000             | 10968159-8  | Felicia Fuentes Espinoza    | felicia.fuentes738@mail.cl    | 921115071
 13494555-9       | Javiera Barrera Pardo       | javiera.barrera549@mail.cl    | 925643780             | 11190490-1  | Felicia Iturra Mendez       | felicia.iturra492@mail.cl     | 998756048
 10822435-5       | Enrique Barrera Jara        | enrique.barrera233@mail.cl    | 100000000             | 9081387-0   | Felicia Lagos Ortiz         | felicia.lagos286@mail.cl      | 913482878
 14102250-4       | Enrique Duarte Ortiz        | enrique.duarte665@mail.cl     | 100000000             | 9081387-0   | Felicia Lagos Ortiz         | felicia.lagos286@mail.cl      | 913482878
 13165225-9       | Ignacio Henriquez Espinoza  | ignacio.henriquez79@mail.cl   | 100000000             | 9501051-2   | Felicia Nuñez Mendez        | felicia.nunez945@mail.cl      | 965576946
 22134702-1       | Felicia Alvarez Alvarez     | felicia.alvarez679@mail.cl    | 924685920             | 6988932-8   | Felicia Quezada Fuentes     | felicia.quezada38@mail.cl     | 953758269
 18461799-4       | Kevin Mendez Alvarez        | kevin.mendez977@mail.cl       | 964088922             | 6988932-8   | Felicia Quezada Fuentes     | felicia.quezada38@mail.cl     | 953758269
 24847039-9       | Helena Iturra Galdames      | helena.iturra203@mail.cl      | 978920726             | 23075751-8  | Gonzalo Alvarez Fuentes     | gonzalo.alvarez580@mail.cl    | 100000000
 18035266-K       | Kevin Galdames Lagos        | kevin.galdames703@mail.cl     | 982723652             | 9185277-2   | Gonzalo Contreras Espinoza  | gonzalo.contreras953@mail.cl  | 100000000
