       nombre_completo       |    run     |    sucursal     |  tipo_socio   | cuotas_atrasadas | monto_adeudado 
-----------------------------+------------+-----------------+---------------+------------------+----------------
 Beatriz Galdames Espinoza   | 21896425-7 | La Florida      | socio_titular |                8 |         265000
 Daniela Quezada Nuñez       | 12735469-3 | La Florida      | socio_titular |                8 |         265000
 Helena Jara Duarte          | 17608709-9 | La Florida      | socio_titular |                8 |         265000
 Helena Quezada Duarte       | 24724208-2 | La Florida      | socio_titular |                8 |         265000
 Ignacio Pardo Pardo         | 6344903-2  | La Florida      | socio_titular |                8 |         265000
 Javiera Mendez Fuentes      | 8554458-6  | La Florida      | socio_titular |                8 |         265000
 Mauricio Fuentes Contreras  | 19556227-K | La Florida      | socio_titular |                8 |         265000
 Oscar Galdames Lagos        | 11166446-3 | La Florida      | socio_titular |                8 |         265000
 Patricia Jara Espinoza      | 23230624-6 | La Florida      | socio_titular |                8 |         265000
 Felicia Quezada Fuentes     | 6988932-8  | La Florida      | socio_titular |                7 |         240000
 Alvaro Iturra Mendez        | 22224530-3 | La Florida      | socio_titular |                6 |         210000
 Helena Mendez Espinoza      | 6005570-K  | La Florida      | socio_titular |                6 |         210000
 Kevin Quezada Barrera       | 19916691-3 | La Florida      | socio_titular |                6 |         210000
 Mauricio Duarte Ortiz       | 22279269-K | La Florida      | socio_titular |                6 |         210000
 Patricia Quezada Pardo      | 21103105-0 | La Florida      | socio_titular |                6 |         210000
 Beatriz Barrera Fuentes     | 23937539-1 | La Florida      | socio_titular |                2 |          55000
 Enrique Henriquez Contreras | 19067421-5 | La Florida      | socio_titular |                2 |          55000
 Felicia Pardo Galdames      | 21038193-7 | La Florida      | socio_titular |                2 |          55000
 Javiera Jara Nuñez          | 19150099-7 | La Florida      | socio_titular |                2 |          55000
 Natalia Espinoza Alvarez    | 13852439-6 | La Florida      | socio_titular |                2 |          55000
 Beatriz Alvarez Lagos       | 5058856-4  | Providencia     | socio_titular |                8 |         265000
 Claudio Mendez Nuñez        | 23115895-2 | Providencia     | socio_titular |                8 |         265000
 Daniela Henriquez Duarte    | 20789127-4 | Providencia     | socio_titular |                8 |         265000
 Daniela Quezada Espinoza    | 8054887-7  | Providencia     | socio_titular |                8 |         265000
 Helena Alvarez Mendez       | 16103628-5 | Providencia     | socio_titular |                8 |         265000
 Ignacio Espinoza Galdames   | 17526820-0 | Providencia     | socio_titular |                8 |         265000
 Ignacio Mendez Henriquez    | 24377951-0 | Providencia     | socio_titular |                8 |         265000
 Javiera Barrera Duarte      | 5093909-K  | Providencia     | socio_titular |                8 |         265000
 Loreto Alvarez Mendez       | 16804818-1 | Providencia     | socio_titular |                8 |         265000
 Loreto Nuñez Henriquez      | 21325038-8 | Providencia     | socio_titular |                8 |         265000
 Mauricio Henriquez Espinoza | 17877848-K | Providencia     | socio_titular |                8 |         265000
 Natalia Duarte Nuñez        | 22997716-4 | Providencia     | socio_titular |                8 |         265000
 Natalia Galdames Contreras  | 6016578-5  | Providencia     | socio_titular |                8 |         265000
 Oscar Contreras Lagos       | 12170069-7 | Providencia     | socio_titular |                8 |         265000
 Patricia Barrera Pardo      | 17862474-1 | Providencia     | socio_titular |                8 |         265000
 Alvaro Galdames Contreras   | 21319100-4 | Providencia     | socio_titular |                6 |         210000
 Beatriz Barrera Barrera     | 24480744-5 | Providencia     | socio_titular |                6 |         210000
 Felicia Lagos Ortiz         | 9081387-0  | Providencia     | socio_titular |                6 |         210000
 Loreto Alvarez Fuentes      | 24548958-7 | Providencia     | socio_titular |                6 |         210000
 Natalia Barrera Barrera     | 16809928-2 | Providencia     | socio_titular |                6 |         210000
 Oscar Quezada Ortiz         | 13588977-6 | Providencia     | socio_titular |                6 |         210000
 Patricia Espinoza Contreras | 7204671-4  | Providencia     | socio_titular |                6 |         210000
 Felicia Lagos Galdames      | 9737943-2  | Providencia     | socio_titular |                2 |          55000
 Gonzalo Lagos Mendez        | 15913517-9 | Providencia     | socio_titular |                2 |          55000
 Helena Mendez Pardo         | 21005871-0 | Providencia     | socio_titular |                2 |          55000
 Helena Nuñez Iturra         | 24211768-9 | Providencia     | socio_titular |                2 |          55000
 Javiera Lagos Contreras     | 24973079-3 | Providencia     | socio_titular |                2 |          55000
 Kevin Nuñez Pardo           | 16653005-9 | Providencia     | socio_titular |                2 |          55000
 Natalia Contreras Mendez    | 22417599-K | Providencia     | socio_titular |                2 |          55000
 Oscar Contreras Henriquez   | 9946748-7  | Providencia     | socio_titular |                2 |          55000
 Daniela Henriquez Fuentes   | 20848551-2 | Santa Cruz      | socio_titular |                8 |         265000
 Helena Henriquez Fuentes    | 9666051-0  | Santa Cruz      | socio_titular |                8 |         265000
 Helena Henriquez Nuñez      | 11750440-9 | Santa Cruz      | socio_titular |                8 |         265000
 Ignacio Quezada Henriquez   | 9848362-4  | Santa Cruz      | socio_titular |                8 |         265000
 Javiera Contreras Henriquez | 22109010-1 | Santa Cruz      | socio_titular |                8 |         265000
 Loreto Duarte Quezada       | 24692054-0 | Santa Cruz      | socio_titular |                8 |         265000
 Natalia Contreras Jara      | 24941085-3 | Santa Cruz      | socio_titular |                8 |         265000
 Patricia Duarte Espinoza    | 15182198-7 | Santa Cruz      | socio_titular |                8 |         265000
 Patricia Pardo Fuentes      | 20484469-0 | Santa Cruz      | socio_titular |                8 |         265000
 Claudio Barrera Ortiz       | 10336757-3 | Santa Cruz      | socio_titular |                7 |         240000
 Alvaro Pardo Nuñez          | 9915422-5  | Santa Cruz      | socio_titular |                6 |         210000
 Gonzalo Espinoza Fuentes    | 24259004-K | Santa Cruz      | socio_titular |                6 |         210000
